[1789174514.254803] [wn01:2870652:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.254802] [wn01:2870660:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.254902] [wn01:2870649:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255008] [wn01:2870654:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255046] [wn01:2870661:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255124] [wn01:2870659:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255146] [wn01:2870647:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255152] [wn01:2870650:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255226] [wn01:2870653:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255222] [wn01:2870658:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255280] [wn01:2870662:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255259] [wn01:2870655:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255255] [wn01:2870657:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255290] [wn01:2870648:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255272] [wn01:2870651:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174514.255284] [wn01:2870656:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
26-09-12 02:55:14,430.995 INFO  WaComMINFO - WaComM - C++ Version
26-09-12 02:55:14,431.073 INFO  WaComMINFO - Parallel: Distributed Memory
26-09-12 02:55:14,431.079 INFO  WaComMINFO - Parallel: Shared Memory
26-09-12 02:55:14,431.082 INFO  WaComMINFO - Acceleration: None
26-09-12 02:55:14,431.088 INFO  WaComMINFO - 0: Using 1/16 processes, each on 1 threads.
26-09-12 02:55:14,431.092 INFO  WaComMINFO - Configuration: wacomm-sarno-lite-6h.json
26-09-12 02:55:14,443.339 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z09.nc
26-09-12 02:55:19,002.096 INFO  WaComMINFO - Reading from json:examples/sources-sarno_river.json
26-09-12 02:55:19,309.567 INFO  WaComMINFO - ocean_time:2
26-09-12 02:55:19,309.683 INFO  WaComMINFO - s_rho:30
26-09-12 02:55:19,309.719 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:55:20,439.141 INFO  WaComMINFO - Simulating:1.67593e+09 - 20210701Z09
26-09-12 02:55:20,439.265 INFO  WaComMINFO - Sources:1
26-09-12 02:55:20,440.672 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 10000
26-09-12 02:55:20,441.168 INFO  WaComMINFO - 1: Local particles:625
26-09-12 02:55:20,441.191 INFO  WaComMINFO - 2: Local particles:625
26-09-12 02:55:20,441.243 INFO  WaComMINFO - 3: Local particles:625
26-09-12 02:55:20,441.269 INFO  WaComMINFO - 4: Local particles:625
26-09-12 02:55:20,441.308 INFO  WaComMINFO - 5: Local particles:625
26-09-12 02:55:20,441.344 INFO  WaComMINFO - 6: Local particles:625
26-09-12 02:55:20,441.378 INFO  WaComMINFO - 7: Local particles:625
26-09-12 02:55:20,441.423 INFO  WaComMINFO - 8: Local particles:625
26-09-12 02:55:20,441.457 INFO  WaComMINFO - 9: Local particles:625
26-09-12 02:55:20,441.490 INFO  WaComMINFO - 10: Local particles:625
26-09-12 02:55:20,441.529 INFO  WaComMINFO - 11: Local particles:625
26-09-12 02:55:20,441.565 INFO  WaComMINFO - 12: Local particles:625
26-09-12 02:55:20,441.604 INFO  WaComMINFO - 13: Local particles:625
26-09-12 02:55:20,441.622 INFO  WaComMINFO - 0: Local particles:625
