[1789174482.273769] [wn01:2870455:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273768] [wn01:2870456:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273787] [wn01:2870457:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273821] [wn01:2870458:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273835] [wn01:2870459:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273811] [wn01:2870460:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273833] [wn01:2870461:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
[1789174482.273807] [wn01:2870462:0]     ucp_context.c:2119 UCX  WARN  UCP API version is incompatible: required >= 1.18, actual 1.15.0 (loaded from /opt/share/libs/gcc-8.5.0/ucx-1.15.0/lib/libucp.so.0)
26-09-12 02:54:42,408.418 INFO  WaComMINFO - WaComM - C++ Version
26-09-12 02:54:42,408.541 INFO  WaComMINFO - Parallel: Distributed Memory
26-09-12 02:54:42,408.552 INFO  WaComMINFO - Parallel: Shared Memory
26-09-12 02:54:42,408.560 INFO  WaComMINFO - Acceleration: None
26-09-12 02:54:42,408.572 INFO  WaComMINFO - 0: Using 1/8 processes, each on 1 threads.
26-09-12 02:54:42,408.583 INFO  WaComMINFO - Configuration: wacomm-sarno-lite-6h.json
26-09-12 02:54:42,422.196 INFO  WaComMINFO - 0: Input from Ocean Model: processed-6h/ocm3_d03_20210701Z09.nc
26-09-12 02:54:45,679.869 INFO  WaComMINFO - Reading from json:examples/sources-sarno_river.json
26-09-12 02:54:45,947.109 INFO  WaComMINFO - ocean_time:2
26-09-12 02:54:45,947.142 INFO  WaComMINFO - s_rho:30
26-09-12 02:54:45,947.147 INFO  WaComMINFO - eta_rho:1135 xi_rho:1528
26-09-12 02:54:46,258.289 INFO  WaComMINFO - Simulating:1.67593e+09 - 20210701Z09
26-09-12 02:54:46,258.315 INFO  WaComMINFO - Sources:1
26-09-12 02:54:46,259.323 INFO  WaComMINFO - Emitted particles: 10000 Total particles: 10000
26-09-12 02:54:46,259.778 INFO  WaComMINFO - 1: Local particles:1250
26-09-12 02:54:46,259.817 INFO  WaComMINFO - 2: Local particles:1250
26-09-12 02:54:46,259.874 INFO  WaComMINFO - 3: Local particles:1250
26-09-12 02:54:46,259.917 INFO  WaComMINFO - 4: Local particles:1250
26-09-12 02:54:46,259.970 INFO  WaComMINFO - 5: Local particles:1250
26-09-12 02:54:46,260.012 INFO  WaComMINFO - 0: Local particles:1250
26-09-12 02:54:46,260.022 INFO  WaComMINFO - 6: Local particles:1250
26-09-12 02:54:46,260.070 INFO  WaComMINFO - 7: Local particles:1250
